En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Morelos,"Yautepec,Morelos",2019,1,  2 140,162,42,1,0,6,6,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,11,  1 879
 Morelos,"Yautepec,Morelos",2020,1,  1 771,227,14,12,0,1,12,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,  1 475
 Morelos,"Yautepec,Morelos",Al 30 de junio de 2021,1,921,57,0,1,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851
 Nayarit,"Bahía de Banderas,Nayarit",2019,1,  2 120,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  2 120
 Nayarit,"Bahía de Banderas,Nayarit",2020,1,  5 004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  5 004
 Nayarit,"Bahía de Banderas,Nayarit",Al 30 de junio de 2021,1,  2 337,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  2 337
 Nayarit,"Tepic,Nayarit",2019,1,  10 572,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  10 572
 Nayarit,"Tepic,Nayarit",2020,1,  7 371,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  7 371
 Nayarit,"Tepic,Nayarit",Al 30 de junio de 2021,1,  4 198,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  4 198
 Nuevo León,"Monterrey,Nuevo León",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Nuevo León,"Monterrey,Nuevo León",2020,1,  2 520,644,587,12,2,172,49,40,0,460,50,1,89,1,0,0,0,13,0,0,32,0,3,365,0
 Nuevo León,"Monterrey,Nuevo León",Al 30 de junio de 2021,1,  6 295,  1 821,  1 450,59,0,375,114,69,2,  1 103,117,2,314,5,0,0,0,22,0,49,23,1,4,765,0
 Oaxaca,"Juchitán de Zaragoza,Oaxaca",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
